multitasking,grade
2,14
3,5
3,10
4,9
2,16
3,3
3,11
3,12
3,5
2,15
4,13
2,13
4,9
3,16
2,5
3,5
2,14
3,13
2,12
3,3
3,3
2,3
4,8
2,13
3,13
5,4
3,7
1,6
3,7
2,16
2,10
2,14
2,10
2,14
1,9
5,4
2,11
2,10
2,8
3,4
2,4
2,12
2,9
3,14
1,9
3,12
4,5
1,15
1,14
2,12
2,14
3,16
3,12
3,12
3,15
1,9
1,11
2,9
1,14
3,7
2,15
1,9
1,11
1,14
2,13
2,9
3,9
2,11
2,11
3,5
2,4
3,3
2,14
3,4
3,6
2,10
4,9
3,9
3,9
4,11
1,14
2,11
2,15
2,14
1,16
3,9
3,12
4,6
2,12
2,16
5,5
2,11
3,9
2,13
3,15
3,3
3,12
1,16
3,11
2,12
